model_id,downloads,tasks,parameters,tags,license,datasets,model_name,metrics,base_model,languages
Bingsu/adetailer,21820074,,,"['ultralytics', 'pytorch', 'dataset:wider_face', 'dataset:skytnt/anime-segmentation', 'doi:10.57967/hf/3633', 'license:apache-2.0', 'region:us']",apache-2.0,"['wider_face', 'skytnt/anime-segmentation']",,,,
timm/resnet50.a1_in1k,19667291,image-classification,25610152.0,"['timm', 'pytorch', 'safetensors', 'image-classification', 'transformers', 'arxiv:2110.00476', 'arxiv:1512.03385', 'license:apache-2.0', 'region:us']",apache-2.0,,,,,
jonatasgrosman/wav2vec2-large-xlsr-53-english,18234759,automatic-speech-recognition,315472545.0,"['transformers', 'pytorch', 'jax', 'safetensors', 'wav2vec2', 'automatic-speech-recognition', 'audio', 'en', 'hf-asr-leaderboard', 'mozilla-foundation/common_voice_6_0', 'robust-speech-event', 'speech', 'xlsr-fine-tuning-week', 'dataset:common_voice', 'dataset:mozilla-foundation/common_voice_6_0', 'doi:10.57967/hf/3569', 'license:apache-2.0', 'model-index', 'endpoints_compatible', 'region:us']",apache-2.0,"['common_voice', 'mozilla-foundation/common_voice_6_0']",XLSR Wav2Vec2 English by Jonatas Grosman,"['wer', 'cer']",,en
sentence-transformers/multi-qa-MiniLM-L6-cos-v1,17801026,sentence-similarity,22713728.0,"['sentence-transformers', 'pytorch', 'tf', 'onnx', 'safetensors', 'openvino', 'bert', 'feature-extraction', 'sentence-similarity', 'transformers', 'en', 'dataset:flax-sentence-embeddings/stackexchange_xml', 'dataset:ms_marco', 'dataset:gooaq', 'dataset:yahoo_answers_topics', 'dataset:search_qa', 'dataset:eli5', 'dataset:natural_questions', 'dataset:trivia_qa', 'dataset:embedding-data/QQP', 'dataset:embedding-data/PAQ_pairs', 'dataset:embedding-data/Amazon-QA', 'dataset:embedding-data/WikiAnswers', 'autotrain_compatible', 'text-embeddings-inference', 'endpoints_compatible', 'region:us']",,"['flax-sentence-embeddings/stackexchange_xml', 'ms_marco', 'gooaq', 'yahoo_answers_topics', 'search_qa', 'eli5', 'natural_questions', 'trivia_qa', 'embedding-data/QQP', 'embedding-data/PAQ_pairs', 'embedding-data/Amazon-QA', 'embedding-data/WikiAnswers']",,,,['en']
openai-community/gpt2,17272637,text-generation,137022720.0,"['transformers', 'pytorch', 'tf', 'jax', 'tflite', 'rust', 'onnx', 'safetensors', 'gpt2', 'text-generation', 'exbert', 'en', 'doi:10.57967/hf/0039', 'license:mit', 'autotrain_compatible', 'text-generation-inference', 'endpoints_compatible', 'region:us']",mit,,,,,en
openai/clip-vit-base-patch32,14980810,zero-shot-image-classification,,"['transformers', 'pytorch', 'tf', 'jax', 'clip', 'zero-shot-image-classification', 'vision', 'arxiv:2103.00020', 'arxiv:1908.04913', 'endpoints_compatible', 'region:us']",,,,,,
jonatasgrosman/wav2vec2-large-xlsr-53-chinese-zh-cn,14541171,automatic-speech-recognition,,"['transformers', 'pytorch', 'jax', 'wav2vec2', 'automatic-speech-recognition', 'audio', 'speech', 'xlsr-fine-tuning-week', 'zh', 'dataset:common_voice', 'doi:10.57967/hf/3570', 'license:apache-2.0', 'model-index', 'endpoints_compatible', 'region:us']",apache-2.0,['common_voice'],XLSR Wav2Vec2 Chinese (zh-CN) by Jonatas Grosman,"['wer', 'cer']",,zh
WhereIsAI/UAE-Large-V1,14438938,feature-extraction,335141888.0,"['sentence-transformers', 'onnx', 'safetensors', 'openvino', 'bert', 'feature-extraction', 'mteb', 'sentence_embedding', 'feature_extraction', 'transformers', 'transformers.js', 'en', 'arxiv:2309.12871', 'license:mit', 'model-index', 'autotrain_compatible', 'text-embeddings-inference', 'endpoints_compatible', 'region:us']",mit,,UAE-Large-V1,,,['en']
google/vit-base-patch16-224-in21k,14074881,image-feature-extraction,86389248.0,"['transformers', 'pytorch', 'tf', 'jax', 'safetensors', 'vit', 'image-feature-extraction', 'vision', 'dataset:imagenet-21k', 'arxiv:2010.11929', 'arxiv:2006.03677', 'license:apache-2.0', 'region:us']",apache-2.0,['imagenet-21k'],,,,
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,13879867,sentence-similarity,117654272.0,"['sentence-transformers', 'pytorch', 'tf', 'onnx', 'safetensors', 'openvino', 'bert', 'feature-extraction', 'sentence-similarity', 'transformers', 'multilingual', 'ar', 'bg', 'ca', 'cs', 'da', 'de', 'el', 'en', 'es', 'et', 'fa', 'fi', 'fr', 'gl', 'gu', 'he', 'hi', 'hr', 'hu', 'hy', 'id', 'it', 'ja', 'ka', 'ko', 'ku', 'lt', 'lv', 'mk', 'mn', 'mr', 'ms', 'my', 'nb', 'nl', 'pl', 'pt', 'ro', 'ru', 'sk', 'sl', 'sq', 'sr', 'sv', 'th', 'tr', 'uk', 'ur', 'vi', 'arxiv:1908.10084', 'license:apache-2.0', 'autotrain_compatible', 'text-embeddings-inference', 'endpoints_compatible', 'region:us']",apache-2.0,,,,,"['multilingual', 'ar', 'bg', 'ca', 'cs', 'da', 'de', 'el', 'en', 'es', 'et', 'fa', 'fi', 'fr', 'gl', 'gu', 'he', 'hi', 'hr', 'hu', 'hy', 'id', 'it', 'ja', 'ka', 'ko', 'ku', 'lt', 'lv', 'mk', 'mn', 'mr', 'ms', 'my', 'nb', 'nl', 'pl', 'pt', 'ro', 'ru', 'sk', 'sl', 'sq', 'sr', 'sv', 'th', 'tr', 'uk', 'ur', 'vi']"
pyannote/wespeaker-voxceleb-resnet34-LM,13496338,,,"['pyannote-audio', 'pytorch', 'pyannote', 'pyannote-audio-model', 'wespeaker', 'audio', 'voice', 'speech', 'speaker', 'speaker-recognition', 'speaker-verification', 'speaker-identification', 'speaker-embedding', 'dataset:voxceleb', 'license:cc-by-4.0', 'region:us']",cc-by-4.0,['voxceleb'],,,,
pyannote/segmentation-3.0,13396265,voice-activity-detection,,"['pyannote-audio', 'pytorch', 'pyannote', 'pyannote-audio-model', 'audio', 'voice', 'speech', 'speaker', 'speaker-diarization', 'speaker-change-detection', 'speaker-segmentation', 'voice-activity-detection', 'overlapped-speech-detection', 'resegmentation', 'license:mit', 'region:us']",mit,,,,,
facebook/esmfold_v1,13386870,,,"['transformers', 'pytorch', 'esm', 'license:mit', 'endpoints_compatible', 'region:us']",mit,,,,,
FacebookAI/roberta-base,12592295,fill-mask,124697947.0,"['transformers', 'pytorch', 'tf', 'jax', 'rust', 'safetensors', 'roberta', 'fill-mask', 'exbert', 'en', 'dataset:bookcorpus', 'dataset:wikipedia', 'arxiv:1907.11692', 'arxiv:1806.02847', 'license:mit', 'autotrain_compatible', 'endpoints_compatible', 'region:us']",mit,"['bookcorpus', 'wikipedia']",,,,en
distilbert/distilbert-base-uncased,11902025,fill-mask,66985530.0,"['transformers', 'pytorch', 'tf', 'jax', 'rust', 'safetensors', 'distilbert', 'fill-mask', 'exbert', 'en', 'dataset:bookcorpus', 'dataset:wikipedia', 'arxiv:1910.01108', 'license:apache-2.0', 'autotrain_compatible', 'endpoints_compatible', 'region:us']",apache-2.0,"['bookcorpus', 'wikipedia']",,,,en
FacebookAI/xlm-roberta-base,11872758,fill-mask,278885778.0,"['transformers', 'pytorch', 'tf', 'jax', 'onnx', 'safetensors', 'xlm-roberta', 'fill-mask', 'exbert', 'multilingual', 'af', 'am', 'ar', 'as', 'az', 'be', 'bg', 'bn', 'br', 'bs', 'ca', 'cs', 'cy', 'da', 'de', 'el', 'en', 'eo', 'es', 'et', 'eu', 'fa', 'fi', 'fr', 'fy', 'ga', 'gd', 'gl', 'gu', 'ha', 'he', 'hi', 'hr', 'hu', 'hy', 'id', 'is', 'it', 'ja', 'jv', 'ka', 'kk', 'km', 'kn', 'ko', 'ku', 'ky', 'la', 'lo', 'lt', 'lv', 'mg', 'mk', 'ml', 'mn', 'mr', 'ms', 'my', 'ne', 'nl', 'no', 'om', 'or', 'pa', 'pl', 'ps', 'pt', 'ro', 'ru', 'sa', 'sd', 'si', 'sk', 'sl', 'so', 'sq', 'sr', 'su', 'sv', 'sw', 'ta', 'te', 'th', 'tl', 'tr', 'ug', 'uk', 'ur', 'uz', 'vi', 'xh', 'yi', 'zh', 'arxiv:1911.02116', 'license:mit', 'autotrain_compatible', 'endpoints_compatible', 'region:us']",mit,,,,,"['multilingual', 'af', 'am', 'ar', 'as', 'az', 'be', 'bg', 'bn', 'br', 'bs', 'ca', 'cs', 'cy', 'da', 'de', 'el', 'en', 'eo', 'es', 'et', 'eu', 'fa', 'fi', 'fr', 'fy', 'ga', 'gd', 'gl', 'gu', 'ha', 'he', 'hi', 'hr', 'hu', 'hy', 'id', 'is', 'it', 'ja', 'jv', 'ka', 'kk', 'km', 'kn', 'ko', 'ku', 'ky', 'la', 'lo', 'lt', 'lv', 'mg', 'mk', 'ml', 'mn', 'mr', 'ms', 'my', 'ne', 'nl', 'no', 'om', 'or', 'pa', 'pl', 'ps', 'pt', 'ro', 'ru', 'sa', 'sd', 'si', 'sk', 'sl', 'so', 'sq', 'sr', 'su', 'sv', 'sw', 'ta', 'te', 'th', 'tl', 'tr', 'ug', 'uk', 'ur', 'uz', 'vi', 'xh', 'yi', 'zh']"
FacebookAI/roberta-large,11101280,fill-mask,355412571.0,"['transformers', 'pytorch', 'tf', 'jax', 'onnx', 'safetensors', 'roberta', 'fill-mask', 'exbert', 'en', 'dataset:bookcorpus', 'dataset:wikipedia', 'arxiv:1907.11692', 'arxiv:1806.02847', 'license:mit', 'autotrain_compatible', 'endpoints_compatible', 'region:us']",mit,"['bookcorpus', 'wikipedia']",,,,en
cross-encoder/ms-marco-MiniLM-L6-v2,10940744,text-classification,22714113.0,"['transformers', 'pytorch', 'jax', 'safetensors', 'bert', 'text-classification', 'license:apache-2.0', 'autotrain_compatible', 'endpoints_compatible', 'region:us']",apache-2.0,,,,,
pyannote/speaker-diarization-3.1,10514557,automatic-speech-recognition,,"['pyannote-audio', 'pyannote', 'pyannote-audio-pipeline', 'audio', 'voice', 'speech', 'speaker', 'speaker-diarization', 'speaker-change-detection', 'voice-activity-detection', 'overlapped-speech-detection', 'automatic-speech-recognition', 'arxiv:2111.14448', 'arxiv:2012.01477', 'license:mit', 'endpoints_compatible', 'region:us']",mit,,,,,
trpakov/vit-face-expression,10372216,image-classification,85804039.0,"['transformers', 'pytorch', 'onnx', 'safetensors', 'vit', 'image-classification', 'doi:10.57967/hf/2289', 'license:apache-2.0', 'autotrain_compatible', 'endpoints_compatible', 'region:us']",apache-2.0,,,,,
facebook/esm2_t30_150M_UR50D,9915043,fill-mask,148798300.0,"['transformers', 'pytorch', 'tf', 'safetensors', 'esm', 'fill-mask', 'license:mit', 'autotrain_compatible', 'endpoints_compatible', 'region:us']",mit,,,,,
facebook/opt-125m,9106207,text-generation,,"['transformers', 'pytorch', 'tf', 'jax', 'opt', 'text-generation', 'en', 'arxiv:2205.01068', 'arxiv:2005.14165', 'license:other', 'autotrain_compatible', 'text-generation-inference', 'region:us']",other,,,,,en
stable-diffusion-v1-5/stable-diffusion-v1-5,8612650,text-to-image,,"['diffusers', 'safetensors', 'stable-diffusion', 'stable-diffusion-diffusers', 'text-to-image', 'arxiv:2207.12598', 'arxiv:2112.10752', 'arxiv:2103.00020', 'arxiv:2205.11487', 'arxiv:1910.09700', 'license:creativeml-openrail-m', 'autotrain_compatible', 'endpoints_compatible', 'diffusers:StableDiffusionPipeline', 'region:us']",creativeml-openrail-m,,,,,
pyannote/segmentation,8534763,voice-activity-detection,,"['pyannote-audio', 'pytorch', 'pyannote', 'pyannote-audio-model', 'audio', 'voice', 'speech', 'speaker', 'speaker-segmentation', 'voice-activity-detection', 'overlapped-speech-detection', 'resegmentation', 'arxiv:2104.04045', 'license:mit', 'region:us']",mit,,,,,
google/vit-base-patch16-224,8458647,image-classification,86567656.0,"['transformers', 'pytorch', 'tf', 'jax', 'safetensors', 'vit', 'image-classification', 'vision', 'dataset:imagenet-1k', 'dataset:imagenet-21k', 'arxiv:2010.11929', 'arxiv:2006.03677', 'license:apache-2.0', 'autotrain_compatible', 'endpoints_compatible', 'region:us']",apache-2.0,"['imagenet-1k', 'imagenet-21k']",,,,
facebook/bart-large-cnn,8290082,summarization,406290432.0,"['transformers', 'pytorch', 'tf', 'jax', 'rust', 'safetensors', 'bart', 'text2text-generation', 'summarization', 'en', 'dataset:cnn_dailymail', 'arxiv:1910.13461', 'license:mit', 'model-index', 'autotrain_compatible', 'endpoints_compatible', 'region:us']",mit,['cnn_dailymail'],facebook/bart-large-cnn,,,['en']
sentence-transformers/paraphrase-MiniLM-L6-v2,7226030,sentence-similarity,22713728.0,"['sentence-transformers', 'pytorch', 'tf', 'onnx', 'safetensors', 'openvino', 'bert', 'feature-extraction', 'sentence-similarity', 'transformers', 'arxiv:1908.10084', 'license:apache-2.0', 'autotrain_compatible', 'text-embeddings-inference', 'endpoints_compatible', 'region:us']",apache-2.0,,,,,
stable-diffusion-v1-5/stable-diffusion-inpainting,6916478,text-to-image,,"['diffusers', 'stable-diffusion', 'stable-diffusion-diffusers', 'text-to-image', 'arxiv:2207.12598', 'arxiv:2112.10752', 'arxiv:2103.00020', 'arxiv:2205.11487', 'arxiv:1910.09700', 'license:creativeml-openrail-m', 'diffusers:StableDiffusionInpaintPipeline', 'region:us']",creativeml-openrail-m,,,,,
CIDAS/clipseg-rd64-refined,6780108,image-segmentation,150748019.0,"['transformers', 'pytorch', 'safetensors', 'clipseg', 'vision', 'image-segmentation', 'arxiv:2112.10003', 'license:apache-2.0', 'region:us']",apache-2.0,,,,,
distilbert/distilbert-base-uncased-finetuned-sst-2-english,6766852,text-classification,66955010.0,"['transformers', 'pytorch', 'tf', 'rust', 'onnx', 'safetensors', 'distilbert', 'text-classification', 'en', 'dataset:sst2', 'dataset:glue', 'arxiv:1910.01108', 'doi:10.57967/hf/0181', 'license:apache-2.0', 'model-index', 'autotrain_compatible', 'endpoints_compatible', 'region:us']",apache-2.0,"['sst2', 'glue']",distilbert-base-uncased-finetuned-sst-2-english,,,en
pyannote/speaker-diarization,6765585,automatic-speech-recognition,,"['pyannote-audio', 'pyannote', 'pyannote-audio-pipeline', 'audio', 'voice', 'speech', 'speaker', 'speaker-diarization', 'speaker-change-detection', 'voice-activity-detection', 'overlapped-speech-detection', 'automatic-speech-recognition', 'dataset:ami', 'dataset:dihard', 'dataset:voxconverse', 'dataset:aishell', 'dataset:repere', 'dataset:voxceleb', 'arxiv:2012.01477', 'arxiv:2110.07058', 'arxiv:2005.08072', 'license:mit', 'region:us']",mit,"['ami', 'dihard', 'voxconverse', 'aishell', 'repere', 'voxceleb']",,,,
jonatasgrosman/wav2vec2-large-xlsr-53-portuguese,6751067,automatic-speech-recognition,,"['transformers', 'pytorch', 'jax', 'wav2vec2', 'automatic-speech-recognition', 'audio', 'hf-asr-leaderboard', 'mozilla-foundation/common_voice_6_0', 'pt', 'robust-speech-event', 'speech', 'xlsr-fine-tuning-week', 'dataset:common_voice', 'dataset:mozilla-foundation/common_voice_6_0', 'doi:10.57967/hf/3572', 'license:apache-2.0', 'model-index', 'endpoints_compatible', 'region:us']",apache-2.0,"['common_voice', 'mozilla-foundation/common_voice_6_0']",XLSR Wav2Vec2 Portuguese by Jonatas Grosman,"['wer', 'cer']",,pt
jonatasgrosman/wav2vec2-large-xlsr-53-russian,6714022,automatic-speech-recognition,,"['transformers', 'pytorch', 'jax', 'wav2vec2', 'automatic-speech-recognition', 'audio', 'hf-asr-leaderboard', 'mozilla-foundation/common_voice_6_0', 'robust-speech-event', 'ru', 'speech', 'xlsr-fine-tuning-week', 'dataset:common_voice', 'dataset:mozilla-foundation/common_voice_6_0', 'doi:10.57967/hf/3571', 'license:apache-2.0', 'model-index', 'endpoints_compatible', 'region:us']",apache-2.0,"['common_voice', 'mozilla-foundation/common_voice_6_0']",XLSR Wav2Vec2 Russian by Jonatas Grosman,"['wer', 'cer']",,ru
cointegrated/LaBSE-en-ru,6698189,feature-extraction,128994349.0,"['transformers', 'pytorch', 'tf', 'safetensors', 'bert', 'pretraining', 'feature-extraction', 'embeddings', 'sentence-similarity', 'ru', 'en', 'arxiv:2007.01852', 'endpoints_compatible', 'region:us']",,,,,,"['ru', 'en']"
facebook/dinov2-small,6379158,image-feature-extraction,22056576.0,"['transformers', 'pytorch', 'safetensors', 'dinov2', 'image-feature-extraction', 'dino', 'vision', 'arxiv:2304.07193', 'license:apache-2.0', 'endpoints_compatible', 'region:us']",apache-2.0,,,,,
unslothai/1,6369045,feature-extraction,0.0,"['transformers', 'safetensors', 'llama', 'feature-extraction', 'text-generation-inference', 'endpoints_compatible', 'region:us']",,,,,,
google-bert/bert-base-multilingual-cased,6353662,fill-mask,178566653.0,"['transformers', 'pytorch', 'tf', 'jax', 'safetensors', 'bert', 'fill-mask', 'multilingual', 'af', 'sq', 'ar', 'an', 'hy', 'ast', 'az', 'ba', 'eu', 'bar', 'be', 'bn', 'inc', 'bs', 'br', 'bg', 'my', 'ca', 'ceb', 'ce', 'zh', 'cv', 'hr', 'cs', 'da', 'nl', 'en', 'et', 'fi', 'fr', 'gl', 'ka', 'de', 'el', 'gu', 'ht', 'he', 'hi', 'hu', 'is', 'io', 'id', 'ga', 'it', 'ja', 'jv', 'kn', 'kk', 'ky', 'ko', 'la', 'lv', 'lt', 'roa', 'nds', 'lm', 'mk', 'mg', 'ms', 'ml', 'mr', 'mn', 'min', 'ne', 'new', 'nb', 'nn', 'oc', 'fa', 'pms', 'pl', 'pt', 'pa', 'ro', 'ru', 'sco', 'sr', 'scn', 'sk', 'sl', 'aze', 'es', 'su', 'sw', 'sv', 'tl', 'tg', 'th', 'ta', 'tt', 'te', 'tr', 'uk', 'ud', 'uz', 'vi', 'vo', 'war', 'cy', 'fry', 'pnb', 'yo', 'dataset:wikipedia', 'arxiv:1810.04805', 'license:apache-2.0', 'autotrain_compatible', 'endpoints_compatible', 'region:us']",apache-2.0,['wikipedia'],,,,"['multilingual', 'af', 'sq', 'ar', 'an', 'hy', 'ast', 'az', 'ba', 'eu', 'bar', 'be', 'bn', 'inc', 'bs', 'br', 'bg', 'my', 'ca', 'ceb', 'ce', 'zh', 'cv', 'hr', 'cs', 'da', 'nl', 'en', 'et', 'fi', 'fr', 'gl', 'ka', 'de', 'el', 'gu', 'ht', 'he', 'hi', 'hu', 'is', 'io', 'id', 'ga', 'it', 'ja', 'jv', 'kn', 'kk', 'ky', 'ko', 'la', 'lv', 'lt', 'roa', 'nds', 'lm', 'mk', 'mg', 'ms', 'ml', 'mr', 'mn', 'min', 'ne', 'new', 'nb', 'nn', 'oc', 'fa', 'pms', 'pl', 'pt', 'pa', 'ro', 'ru', 'sco', 'sr', 'hr', 'scn', 'sk', 'sl', 'aze', 'es', 'su', 'sw', 'sv', 'tl', 'tg', 'th', 'ta', 'tt', 'te', 'tr', 'uk', 'ud', 'uz', 'vi', 'vo', 'war', 'cy', 'fry', 'pnb', 'yo']"
timm/resnet18.a1_in1k,6133333,image-classification,11699112.0,"['timm', 'pytorch', 'safetensors', 'image-classification', 'transformers', 'arxiv:2110.00476', 'arxiv:1512.03385', 'license:apache-2.0', 'region:us']",apache-2.0,,,,,
jonatasgrosman/wav2vec2-large-xlsr-53-japanese,6000331,automatic-speech-recognition,,"['transformers', 'pytorch', 'jax', 'wav2vec2', 'automatic-speech-recognition', 'audio', 'speech', 'xlsr-fine-tuning-week', 'ja', 'dataset:common_voice', 'doi:10.57967/hf/3568', 'license:apache-2.0', 'model-index', 'endpoints_compatible', 'region:us']",apache-2.0,['common_voice'],XLSR Wav2Vec2 Japanese by Jonatas Grosman,"['wer', 'cer']",,ja
dslim/bert-base-NER,5949352,token-classification,108317193.0,"['transformers', 'pytorch', 'tf', 'jax', 'onnx', 'safetensors', 'bert', 'token-classification', 'en', 'dataset:conll2003', 'arxiv:1810.04805', 'license:mit', 'model-index', 'autotrain_compatible', 'endpoints_compatible', 'region:us']",mit,['conll2003'],dslim/bert-base-NER,,,en
