model_id,downloads,tasks,parameters,tags,created_at,license,datasets,model_name,metrics,base_model,languages
onnx-community/Janus-Pro-1B-ONNX,2723,any-to-any,1000000000.0,"['transformers.js', 'onnx', 'multi_modality', 'text-to-image', 'image-to-text', 'image-text-to-text', 'any-to-any', 'base_model:deepseek-ai/Janus-Pro-1B', 'base_model:quantized:deepseek-ai/Janus-Pro-1B', 'license:mit', 'region:us']",2025-01-27 17:57:34+00:00,mit,,,,['deepseek-ai/Janus-Pro-1B'],
yaswanthgali/Janus-Pro-1B-HF,2298,any-to-any,2089232011.0,"['transformers', 'safetensors', 'janus', 'text2text-generation', 'muiltimodal', 'text-to-image', 'unified-model', 'any-to-any', 'arxiv:2501.17811', 'license:mit', 'autotrain_compatible', 'endpoints_compatible', 'region:us']",2025-03-01 14:42:15+00:00,mit,,,,,
Junfeng5/Liquid_V1_7B,1933,any-to-any,8562846720.0,"['transformers', 'safetensors', 'gemma', 'text-generation', 'any-to-any', 'en', 'dataset:mlfoundations/dclm-baseline-1.0', 'dataset:cerebras/SlimPajama-627B', 'dataset:bigcode/starcoderdata', 'dataset:JourneyDB/JourneyDB', 'arxiv:2412.04332', 'base_model:google/gemma-7b', 'base_model:finetune:google/gemma-7b', 'license:mit', 'autotrain_compatible', 'text-generation-inference', 'endpoints_compatible', 'region:us']",2025-02-21 09:09:41+00:00,mit,"['mlfoundations/dclm-baseline-1.0', 'cerebras/SlimPajama-627B', 'bigcode/starcoderdata', 'JourneyDB/JourneyDB']",,,['google/gemma-7b'],['en']
BAAI/Emu3-Gen,1699,any-to-any,8492011520.0,"['transformers', 'safetensors', 'Emu3', 'text-generation', 'any-to-any', 'custom_code', 'arxiv:2409.18869', 'license:apache-2.0', 'autotrain_compatible', 'endpoints_compatible', 'region:us']",2024-09-25 11:03:49+00:00,apache-2.0,,,,,
PKU-Alignment/AA-chameleon-7b-base,1487,any-to-any,7000000000.0,"['transformers', 'pytorch', 'chameleon', 'image-text-to-text', 'multimodal', 'any-to-any', 'en', 'license:cc-by-4.0', 'endpoints_compatible', 'region:us']",2024-09-12 11:24:27+00:00,cc-by-4.0,,,,,['en']
internlm/internlm-xcomposer2d5-7b-reward,1458,any-to-any,7000000000.0,"['transformers', 'pytorch', 'internlm2', 'feature-extraction', 'reward model', 'any-to-any', 'custom_code', 'en', 'zh', 'arxiv:2501.12368', 'arxiv:2411.17451', 'arxiv:2403.13787', 'arxiv:2410.16184', 'license:other', 'region:us']",2025-01-21 12:31:50+00:00,other,,,,,"['en', 'zh']"
BAAI/Emu3-Stage1,1454,any-to-any,8492011520.0,"['transformers', 'safetensors', 'Emu3', 'text-generation', 'any-to-any', 'custom_code', 'arxiv:2409.18869', 'license:apache-2.0', 'autotrain_compatible', 'endpoints_compatible', 'region:us']",2024-10-21 02:16:32+00:00,apache-2.0,,,,,
EPFL-VILAB/4M-21_B,1447,any-to-any,842630400.0,"['ml-4m', 'safetensors', 'any-to-any', 'arxiv:2312.06647', 'arxiv:2406.09406', 'license:other', 'region:us']",2024-06-12 08:47:08+00:00,other,,,,,
Alpha-VLLM/Lumina-mGPT-7B-512,1199,any-to-any,7013158912.0,"['safetensors', 'chameleon', 'Any2Any', 'any-to-any', 'arxiv:2408.02657', 'region:us']",2024-08-04 09:55:49+00:00,,,,,,
FriendliAI/MiniCPM-o-2_6,522,any-to-any,8674997028.0,"['transformers', 'safetensors', 'minicpmo', 'feature-extraction', 'minicpm-o', 'omni', 'vision', 'ocr', 'multi-image', 'video', 'custom_code', 'audio', 'speech', 'voice cloning', 'live Streaming', 'realtime speech conversation', 'asr', 'tts', 'any-to-any', 'multilingual', 'dataset:openbmb/RLAIF-V-Dataset', 'arxiv:2405.17220', 'arxiv:2408.01800', 'region:us']",2025-03-04 10:23:56+00:00,,['openbmb/RLAIF-V-Dataset'],,,,['multilingual']
showlab/show-o,374,any-to-any,,"['diffusers', 'safetensors', 'model_hub_mixin', 'pytorch_model_hub_mixin', 'any-to-any', 'arxiv:2408.12528', 'license:mit', 'region:us']",2024-08-26 15:02:44+00:00,mit,,,,,
second-state/MiniCPM-o-2_6-GGUF,371,any-to-any,,"['transformers', 'gguf', 'minicpmo', 'feature-extraction', 'any-to-any', 'custom_code', 'multilingual', 'base_model:openbmb/MiniCPM-o-2_6', 'base_model:quantized:openbmb/MiniCPM-o-2_6', 'endpoints_compatible', 'region:us', 'conversational']",2025-03-11 14:30:49+00:00,,,MiniCPM-o-2_6,,openbmb/MiniCPM-o-2_6,['multilingual']
gaianet/MiniCPM-o-2_6-GGUF,355,any-to-any,,"['transformers', 'gguf', 'minicpmo', 'feature-extraction', 'any-to-any', 'custom_code', 'multilingual', 'base_model:openbmb/MiniCPM-o-2_6', 'base_model:quantized:openbmb/MiniCPM-o-2_6', 'endpoints_compatible', 'region:us', 'conversational']",2025-03-11 14:31:05+00:00,,,MiniCPM-o-2_6,,openbmb/MiniCPM-o-2_6,['multilingual']
Alpha-VLLM/Lumina-mGPT-7B-768-Omni,341,any-to-any,7013158912.0,"['transformers', 'safetensors', 'chameleon', 'text2text-generation', 'Any2Any', 'any-to-any', 'arxiv:2408.02657', 'autotrain_compatible', 'endpoints_compatible', 'region:us']",2024-07-28 20:12:05+00:00,,,,,,
wnma3mz/Janus-Pro-7B-4bit,290,any-to-any,1590023819.0,"['mlx', 'safetensors', 'chat', 'any-to-any', 'base_model:deepseek-ai/Janus-Pro-7B', 'base_model:quantized:deepseek-ai/Janus-Pro-7B', 'license:mit', '4-bit', 'region:us']",2025-01-30 06:23:40+00:00,mit,,,,['deepseek-ai/Janus-Pro-7B'],
EPFL-VILAB/4M-7_B_CC12M,279,any-to-any,444764928.0,"['ml-4m', 'safetensors', 'any-to-any', 'arxiv:2312.06647', 'arxiv:2406.09406', 'license:other', 'region:us']",2024-03-25 14:20:29+00:00,other,,,,,
gpt-omni/mini-omni2,263,any-to-any,,"['mini-omni2', 'any-to-any', 'arxiv:2410.11190', 'license:mit', 'region:us']",2024-10-15 14:08:14+00:00,mit,,,,,
wnma3mz/Janus-Pro-1B-4bit,235,any-to-any,694953611.0,"['mlx', 'safetensors', 'chat', 'any-to-any', 'base_model:deepseek-ai/Janus-Pro-1B', 'base_model:quantized:deepseek-ai/Janus-Pro-1B', 'license:mit', '4-bit', 'region:us']",2025-01-30 05:11:23+00:00,mit,,,,['deepseek-ai/Janus-Pro-1B'],
onnx-community/Janus-1.3B-ONNX,217,any-to-any,1300000000.0,"['transformers.js', 'onnx', 'multi_modality', 'text-to-image', 'image-to-text', 'image-text-to-text', 'any-to-any', 'base_model:deepseek-ai/Janus-1.3B', 'base_model:quantized:deepseek-ai/Janus-1.3B', 'license:other', 'region:us']",2024-10-26 09:27:54+00:00,other,,,,['deepseek-ai/Janus-1.3B'],
Alpha-VLLM/Chameleon_7B_mGPT,185,any-to-any,7042582528.0,"['transformers', 'safetensors', 'chameleon', 'image-text-to-text', 'any-to-any', 'endpoints_compatible', 'region:us']",2024-07-28 20:26:42+00:00,,,,,,
facebook/mms-lid-256,1370984,audio-classification,966222720.0,"['transformers', 'pytorch', 'safetensors', 'wav2vec2', 'audio-classification', 'mms', 'ab', 'af', 'ak', 'am', 'ar', 'as', 'av', 'ay', 'az', 'ba', 'bm', 'be', 'bn', 'bi', 'bo', 'sh', 'br', 'bg', 'ca', 'cs', 'ce', 'cv', 'ku', 'cy', 'da', 'de', 'dv', 'dz', 'el', 'en', 'eo', 'et', 'eu', 'ee', 'fo', 'fa', 'fj', 'fi', 'fr', 'fy', 'ff', 'ga', 'gl', 'gn', 'gu', 'zh', 'ht', 'ha', 'he', 'hi', 'hu', 'hy', 'ig', 'ia', 'ms', 'is', 'it', 'jv', 'ja', 'kn', 'ka', 'kk', 'kr', 'km', 'ki', 'rw', 'ky', 'ko', 'kv', 'lo', 'la', 'lv', 'ln', 'lt', 'lb', 'lg', 'mh', 'ml', 'mr', 'mk', 'mg', 'mt', 'mn', 'mi', 'my', 'nl', 'no', 'ne', 'ny', 'oc', 'om', 'or', 'os', 'pa', 'pl', 'pt', 'ps', 'qu', 'ro', 'rn', 'ru', 'sg', 'sk', 'sl', 'sm', 'sn', 'sd', 'so', 'es', 'sq', 'su', 'sv', 'sw', 'ta', 'tt', 'te', 'tg', 'tl', 'th', 'ti', 'ts', 'tr', 'uk', 'vi', 'wo', 'xh', 'yo', 'zu', 'za', 'dataset:google/fleurs', 'arxiv:2305.13516', 'license:cc-by-nc-4.0', 'endpoints_compatible', 'region:us']",2023-06-13 08:59:02+00:00,cc-by-nc-4.0,['google/fleurs'],,['acc'],,"['ab', 'af', 'ak', 'am', 'ar', 'as', 'av', 'ay', 'az', 'ba', 'bm', 'be', 'bn', 'bi', 'bo', 'sh', 'br', 'bg', 'ca', 'cs', 'ce', 'cv', 'ku', 'cy', 'da', 'de', 'dv', 'dz', 'el', 'en', 'eo', 'et', 'eu', 'ee', 'fo', 'fa', 'fj', 'fi', 'fr', 'fy', 'ff', 'ga', 'gl', 'gn', 'gu', 'zh', 'ht', 'ha', 'he', 'hi', 'sh', 'hu', 'hy', 'ig', 'ia', 'ms', 'is', 'it', 'jv', 'ja', 'kn', 'ka', 'kk', 'kr', 'km', 'ki', 'rw', 'ky', 'ko', 'kv', 'lo', 'la', 'lv', 'ln', 'lt', 'lb', 'lg', 'mh', 'ml', 'mr', 'ms', 'mk', 'mg', 'mt', 'mn', 'mi', 'my', 'zh', 'nl', 'no', 'no', 'ne', 'ny', 'oc', 'om', 'or', 'os', 'pa', 'pl', 'pt', 'ms', 'ps', 'qu', 'qu', 'qu', 'qu', 'qu', 'qu', 'qu', 'qu', 'qu', 'qu', 'qu', 'qu', 'qu', 'qu', 'qu', 'qu', 'qu', 'qu', 'qu', 'qu', 'qu', 'qu', 'ro', 'rn', 'ru', 'sg', 'sk', 'sl', 'sm', 'sn', 'sd', 'so', 'es', 'sq', 'su', 'sv', 'sw', 'ta', 'tt', 'te', 'tg', 'tl', 'th', 'ti', 'ts', 'tr', 'uk', 'ms', 'vi', 'wo', 'xh', 'ms', 'yo', 'ms', 'zu', 'za']"
audeering/wav2vec2-large-robust-24-ft-age-gender,585267,audio-classification,317542020.0,"['transformers', 'pytorch', 'safetensors', 'wav2vec2', 'speech', 'audio', 'audio-classification', 'age-recognition', 'gender-recognition', 'dataset:agender', 'dataset:mozillacommonvoice', 'dataset:timit', 'dataset:voxceleb2', 'arxiv:2306.16962', 'base_model:facebook/wav2vec2-large-robust', 'base_model:finetune:facebook/wav2vec2-large-robust', 'license:cc-by-nc-sa-4.0', 'endpoints_compatible', 'region:us']",2023-09-04 11:50:44+00:00,cc-by-nc-sa-4.0,"['agender', 'mozillacommonvoice', 'timit', 'voxceleb2']",,,['facebook/wav2vec2-large-robust'],
audeering/wav2vec2-large-robust-12-ft-emotion-msp-dim,493063,audio-classification,165336707.0,"['transformers', 'pytorch', 'safetensors', 'wav2vec2', 'speech', 'audio', 'audio-classification', 'emotion-recognition', 'en', 'dataset:msp-podcast', 'arxiv:2203.07378', 'license:cc-by-nc-sa-4.0', 'endpoints_compatible', 'region:us']",2022-04-06 12:40:02+00:00,cc-by-nc-sa-4.0,['msp-podcast'],,,,en
MIT/ast-finetuned-audioset-10-10-0.4593,374153,audio-classification,86594063.0,"['transformers', 'pytorch', 'safetensors', 'audio-spectrogram-transformer', 'audio-classification', 'arxiv:2104.01778', 'license:bsd-3-clause', 'endpoints_compatible', 'region:us']",2022-11-14 18:41:48+00:00,bsd-3-clause,,,,,
sanchit-gandhi/whisper-small-ft-common-language-id,230524,audio-classification,88362541.0,"['transformers', 'pytorch', 'tensorboard', 'safetensors', 'whisper', 'audio-classification', 'generated_from_trainer', 'dataset:common_language', 'base_model:openai/whisper-small', 'base_model:finetune:openai/whisper-small', 'license:apache-2.0', 'endpoints_compatible', 'region:us']",2023-02-24 12:26:04+00:00,apache-2.0,['common_language'],whisper-small-ft-common-language-id,['accuracy'],openai/whisper-small,
alefiury/wav2vec2-large-xlsr-53-gender-recognition-librispeech,214460,audio-classification,315701634.0,"['transformers', 'pytorch', 'safetensors', 'wav2vec2', 'audio-classification', 'generated_from_trainer', 'dataset:librispeech_asr', 'base_model:facebook/wav2vec2-xls-r-300m', 'base_model:finetune:facebook/wav2vec2-xls-r-300m', 'license:apache-2.0', 'endpoints_compatible', 'region:us']",2023-04-24 02:39:47+00:00,apache-2.0,['librispeech_asr'],weights,['f1'],facebook/wav2vec2-xls-r-300m,
speechbrain/lang-id-voxlingua107-ecapa,203542,audio-classification,,"['speechbrain', 'audio-classification', 'embeddings', 'Language', 'Identification', 'pytorch', 'ECAPA-TDNN', 'TDNN', 'VoxLingua107', 'multilingual', 'ab', 'af', 'am', 'ar', 'as', 'az', 'ba', 'be', 'bg', 'bi', 'bo', 'br', 'bs', 'ca', 'ceb', 'cs', 'cy', 'da', 'de', 'el', 'en', 'eo', 'es', 'et', 'eu', 'fa', 'fi', 'fo', 'fr', 'gl', 'gn', 'gu', 'gv', 'ha', 'haw', 'hi', 'hr', 'ht', 'hu', 'hy', 'ia', 'id', 'is', 'it', 'he', 'ja', 'jv', 'ka', 'kk', 'km', 'kn', 'ko', 'la', 'lm', 'ln', 'lo', 'lt', 'lv', 'mg', 'mi', 'mk', 'ml', 'mn', 'mr', 'ms', 'mt', 'my', 'ne', 'nl', 'nn', 'no', 'oc', 'pa', 'pl', 'ps', 'pt', 'ro', 'ru', 'sa', 'sco', 'sd', 'si', 'sk', 'sl', 'sn', 'so', 'sq', 'sr', 'su', 'sv', 'sw', 'ta', 'te', 'tg', 'th', 'tk', 'tl', 'tr', 'tt', 'uk', 'ud', 'uz', 'vi', 'war', 'yi', 'yo', 'zh', 'dataset:VoxLingua107', 'arxiv:2106.04624', 'license:apache-2.0', 'region:us']",2022-03-02 23:29:05+00:00,apache-2.0,['VoxLingua107'],,['Accuracy'],,"['multilingual', 'ab', 'af', 'am', 'ar', 'as', 'az', 'ba', 'be', 'bg', 'bi', 'bo', 'br', 'bs', 'ca', 'ceb', 'cs', 'cy', 'da', 'de', 'el', 'en', 'eo', 'es', 'et', 'eu', 'fa', 'fi', 'fo', 'fr', 'gl', 'gn', 'gu', 'gv', 'ha', 'haw', 'hi', 'hr', 'ht', 'hu', 'hy', 'ia', 'id', 'is', 'it', 'he', 'ja', 'jv', 'ka', 'kk', 'km', 'kn', 'ko', 'la', 'lm', 'ln', 'lo', 'lt', 'lv', 'mg', 'mi', 'mk', 'ml', 'mn', 'mr', 'ms', 'mt', 'my', 'ne', 'nl', 'nn', 'no', 'oc', 'pa', 'pl', 'ps', 'pt', 'ro', 'ru', 'sa', 'sco', 'sd', 'si', 'sk', 'sl', 'sn', 'so', 'sq', 'sr', 'su', 'sv', 'sw', 'ta', 'te', 'tg', 'th', 'tk', 'tl', 'tr', 'tt', 'uk', 'ud', 'uz', 'vi', 'war', 'yi', 'yo', 'zh']"
MIT/ast-finetuned-audioset-14-14-0.443,195886,audio-classification,86167823.0,"['transformers', 'pytorch', 'safetensors', 'audio-spectrogram-transformer', 'audio-classification', 'arxiv:2104.01778', 'license:bsd-3-clause', 'endpoints_compatible', 'region:us']",2022-11-14 19:05:12+00:00,bsd-3-clause,,,,,
speechbrain/lang-id-commonlanguage_ecapa,170343,audio-classification,,"['speechbrain', 'audio-classification', 'embeddings', 'Language', 'Identification', 'pytorch', 'ECAPA-TDNN', 'TDNN', 'CommonLanguage', 'ar', 'eu', 'br', 'ca', 'cv', 'cs', 'dv', 'nl', 'en', 'eo', 'et', 'fr', 'fy', 'ka', 'de', 'el', 'cnh', 'id', 'ia', 'it', 'ja', 'kab', 'rw', 'ky', 'lv', 'mt', 'mn', 'fa', 'pl', 'pt', 'ro', 'rm', 'ru', 'sah', 'sl', 'es', 'sv', 'ta', 'tt', 'tr', 'uk', 'cy', 'dataset:Urbansound8k', 'arxiv:2106.04624', 'license:apache-2.0', 'region:us']",2022-03-02 23:29:05+00:00,apache-2.0,['Urbansound8k'],,['Accuracy'],,"['ar', 'eu', 'br', 'ca', 'cv', 'cs', 'dv', 'nl', 'en', 'eo', 'et', 'fr', 'fy', 'ka', 'de', 'el', 'cnh', 'id', 'ia', 'it', 'ja', 'kab', 'rw', 'ky', 'lv', 'mt', 'mn', 'fa', 'pl', 'pt', 'ro', 'rm', 'ru', 'sah', 'sl', 'es', 'sv', 'ta', 'tt', 'tr', 'uk', 'cy']"
MIT/ast-finetuned-speech-commands-v2,148803,audio-classification,85395491.0,"['transformers', 'pytorch', 'safetensors', 'audio-spectrogram-transformer', 'audio-classification', 'dataset:speech_commands', 'arxiv:2104.01778', 'license:bsd-3-clause', 'model-index', 'endpoints_compatible', 'region:us']",2022-11-14 19:11:22+00:00,bsd-3-clause,['speech_commands'],MIT/ast-finetuned-speech-commands-v2,,,
facebook/mms-lid-126,137073,audio-classification,966089470.0,"['transformers', 'pytorch', 'safetensors', 'wav2vec2', 'audio-classification', 'mms', 'ab', 'af', 'ak', 'am', 'ar', 'as', 'av', 'ay', 'az', 'ba', 'bm', 'be', 'bn', 'bi', 'bo', 'sh', 'br', 'bg', 'ca', 'cs', 'ce', 'cv', 'ku', 'cy', 'da', 'de', 'dv', 'dz', 'el', 'en', 'eo', 'et', 'eu', 'ee', 'fo', 'fa', 'fj', 'fi', 'fr', 'fy', 'ff', 'ga', 'gl', 'gn', 'gu', 'zh', 'ht', 'ha', 'he', 'hi', 'hu', 'hy', 'ig', 'ia', 'ms', 'is', 'it', 'jv', 'ja', 'kn', 'ka', 'kk', 'kr', 'km', 'ki', 'rw', 'ky', 'ko', 'kv', 'lo', 'la', 'lv', 'ln', 'lt', 'lb', 'lg', 'mh', 'ml', 'mr', 'mk', 'mg', 'mt', 'mn', 'mi', 'my', 'nl', 'no', 'ne', 'ny', 'oc', 'om', 'or', 'os', 'pa', 'pl', 'pt', 'ps', 'qu', 'ro', 'rn', 'ru', 'sg', 'sk', 'sl', 'sm', 'sn', 'sd', 'so', 'es', 'sq', 'su', 'sv', 'sw', 'ta', 'tt', 'te', 'tg', 'tl', 'th', 'ti', 'ts', 'tr', 'uk', 'vi', 'wo', 'xh', 'yo', 'zu', 'za', 'dataset:google/fleurs', 'arxiv:2305.13516', 'license:cc-by-nc-4.0', 'endpoints_compatible', 'region:us']",2023-06-13 08:44:05+00:00,cc-by-nc-4.0,['google/fleurs'],,['acc'],,"['ab', 'af', 'ak', 'am', 'ar', 'as', 'av', 'ay', 'az', 'ba', 'bm', 'be', 'bn', 'bi', 'bo', 'sh', 'br', 'bg', 'ca', 'cs', 'ce', 'cv', 'ku', 'cy', 'da', 'de', 'dv', 'dz', 'el', 'en', 'eo', 'et', 'eu', 'ee', 'fo', 'fa', 'fj', 'fi', 'fr', 'fy', 'ff', 'ga', 'gl', 'gn', 'gu', 'zh', 'ht', 'ha', 'he', 'hi', 'sh', 'hu', 'hy', 'ig', 'ia', 'ms', 'is', 'it', 'jv', 'ja', 'kn', 'ka', 'kk', 'kr', 'km', 'ki', 'rw', 'ky', 'ko', 'kv', 'lo', 'la', 'lv', 'ln', 'lt', 'lb', 'lg', 'mh', 'ml', 'mr', 'ms', 'mk', 'mg', 'mt', 'mn', 'mi', 'my', 'zh', 'nl', 'no', 'no', 'ne', 'ny', 'oc', 'om', 'or', 'os', 'pa', 'pl', 'pt', 'ms', 'ps', 'qu', 'qu', 'qu', 'qu', 'qu', 'qu', 'qu', 'qu', 'qu', 'qu', 'qu', 'qu', 'qu', 'qu', 'qu', 'qu', 'qu', 'qu', 'qu', 'qu', 'qu', 'qu', 'ro', 'rn', 'ru', 'sg', 'sk', 'sl', 'sm', 'sn', 'sd', 'so', 'es', 'sq', 'su', 'sv', 'sw', 'ta', 'tt', 'te', 'tg', 'tl', 'th', 'ti', 'ts', 'tr', 'uk', 'ms', 'vi', 'wo', 'xh', 'ms', 'yo', 'ms', 'zu', 'za']"
m-a-p/MERT-v1-95M,135917,audio-classification,95000000.0,"['transformers', 'pytorch', 'mert_model', 'feature-extraction', 'music', 'audio-classification', 'custom_code', 'arxiv:2306.00107', 'license:cc-by-nc-4.0', 'region:us']",2023-03-17 10:57:16+00:00,cc-by-nc-4.0,,,,,
sanchit-gandhi/whisper-medium-fleurs-lang-id,130994,audio-classification,307504998.0,"['transformers', 'pytorch', 'tensorboard', 'safetensors', 'whisper', 'audio-classification', 'generated_from_trainer', 'dataset:xtreme_s', 'base_model:openai/whisper-medium', 'base_model:finetune:openai/whisper-medium', 'license:apache-2.0', 'endpoints_compatible', 'region:us']",2023-02-23 13:37:22+00:00,apache-2.0,['xtreme_s'],whisper-medium-fleurs-lang-id,['accuracy'],openai/whisper-medium,
speechbrain/spkrec-xvect-voxceleb,115700,audio-classification,,"['speechbrain', 'embeddings', 'Speaker', 'Verification', 'Identification', 'pytorch', 'xvectors', 'TDNN', 'audio-classification', 'en', 'dataset:voxceleb', 'arxiv:2106.04624', 'license:apache-2.0', 'region:us']",2022-03-02 23:29:05+00:00,apache-2.0,['voxceleb'],,"['EER', 'min_dct']",,en
anton-l/wav2vec2-random-tiny-classifier,105574,audio-classification,,"['transformers', 'pytorch', 'wav2vec2', 'audio-classification', 'endpoints_compatible', 'region:us']",2022-03-02 23:29:05+00:00,,,,,,
xbgoose/hubert-large-speech-emotion-recognition-russian-dusha-finetuned,81030,audio-classification,315702405.0,"['transformers', 'pytorch', 'safetensors', 'hubert', 'audio-classification', 'SER', 'speech', 'audio', 'russian', 'ru', 'dataset:xbgoose/dusha', 'base_model:facebook/hubert-large-ls960-ft', 'base_model:finetune:facebook/hubert-large-ls960-ft', 'license:apache-2.0', 'endpoints_compatible', 'region:us']",2023-05-28 14:27:28+00:00,apache-2.0,['xbgoose/dusha'],,,facebook/hubert-large-ls960-ft,['ru']
3loi/SER-Odyssey-Baseline-WavLM-Multi-Attributes,45958,audio-classification,318607043.0,"['transformers', 'pytorch', 'safetensors', 'ser', 'audio-classification', 'wavlm', 'msp-podcast', 'emotion-recognition', 'audio', 'speech', 'valence', 'arousal', 'dominance', 'lucas', 'speech-emotion-recognition', 'custom_code', 'en', 'license:mit', 'region:us']",2024-03-05 01:03:46+00:00,mit,,,,,['en']
waiv/FinVoc2Vec,43515,audio-classification,316491398.0,"['transformers', 'safetensors', 'finvoc2vec', 'feature-extraction', 'audio', 'classification', 'audio-classification', 'Wav2Vec2', 'sentiment', 'earnings conference calls', 'custom_code', 'en', 'base_model:facebook/wav2vec2-large-xlsr-53', 'base_model:finetune:facebook/wav2vec2-large-xlsr-53', 'license:cc-by-nc-4.0', 'region:us']",2024-12-18 17:02:06+00:00,['cc-by-nc-4.0'],,,,['facebook/wav2vec2-large-xlsr-53'],['en']
ehcalabres/wav2vec2-lg-xlsr-en-speech-emotion-recognition,43201,audio-classification,316496520.0,"['transformers', 'pytorch', 'tensorboard', 'safetensors', 'wav2vec2', 'audio-classification', 'generated_from_trainer', 'doi:10.57967/hf/2045', 'license:apache-2.0', 'endpoints_compatible', 'region:us']",2022-03-02 23:29:05+00:00,apache-2.0,,,['accuracy'],,
MattyB95/AST-VoxCelebSpoof-Synthetic-Voice-Detection,38409,audio-classification,86190338.0,"['transformers', 'tensorboard', 'safetensors', 'audio-spectrogram-transformer', 'audio-classification', 'generated_from_trainer', 'en', 'dataset:MattyB95/VoxCelebSpoof', 'base_model:MIT/ast-finetuned-audioset-10-10-0.4593', 'base_model:finetune:MIT/ast-finetuned-audioset-10-10-0.4593', 'license:mit', 'endpoints_compatible', 'region:us']",2024-01-16 03:57:32+00:00,mit,['MattyB95/VoxCelebSpoof'],AST-VoxCelebSpoof-Synthetic-Voice-Detection,"['accuracy', 'f1', 'precision', 'recall']",MIT/ast-finetuned-audioset-10-10-0.4593,['en']
